Fecha,Estado,Clase,Servicio,Fuente comparendo,Infracción,Lugar  infracción
10/15/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C03,Sin identificar
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26Y25 CAÑAVERAL
10/15/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,26 34
10/15/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C03,26 CAÑAVERAL
10/15/2022 12:00:00 AM,Pagado,SIN IDENTIFICAR,Particular,Comparendera Electrónica Simit,C02,26-13 CAÑAVERAL
10/15/2022 12:00:00 AM,Pagado,BUSETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/15/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C03,32 CAÑAVERAL
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C31,KM 14+300
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,KM 14+300
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,KM 14+300
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,11 BUCARICA
10/15/2022 12:00:00 AM,Resolucion,BUSETA,Público,Comparendera Electrónica Simit,C03,Sin identificar
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,KM 18 EL MORTIÑO
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,KM 18 EL MORTIÑO
10/15/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,F,207 MACPOLLO KM88+300
10/15/2022 12:00:00 AM,Pagado,MICROBUS,Público,Comparendera Electrónica Simit,C14,KM 18 EL MORTIÑO
10/15/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,26 Y 26B CAÑAVERAL
10/15/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,VIA ANTIGUA
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,Floridablanca
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,Floridablanca
10/15/2022 12:00:00 AM,Cese,MOTOCICLETA,Particular,Comparendera Electrónica Simit,H03,3 B.SANTA ANA-CUMBRE
10/15/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,H03,3 SANTA ANA
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,H02,3 SANTA ANA
10/15/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,B01,3 SANTA ANA
10/15/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,3 SANTA ANA
10/15/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/15/2022 12:00:00 AM,Cese,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,24 CAÑAVERAL
